"cz","Name","Individual_Income_Excluding_Spouse_at_Age_35"
"cz26410","Dickinson, ND",40694
"cz26403","Bowman, ND",39455
"cz26204","Steele, ND",39050
"cz27010","Miller, SD",38659
"cz26302","Carrington, ND",38599
"cz26201","Bismarck, ND",38516
"cz26412","Williston, ND",38316
"cz26202","East Grant UT, ND",38085
"cz26802","Lisbon, ND",37864
"cz26402","Baker, MT",37802
"cz26411","Sidney, MT & ND",37707
"cz19600","Newark, NJ & NY",36944
"cz20500","Boston, MA",36926
"cz21202","Redwood Falls, MN",36845
"cz20402","Nantucket, MA",36753
"cz26702","Grafton, MN & ND",36556
"cz27504","Carroll, IA",36526
"cz26803","Jamestown, ND",36518
"cz27201","Sioux Center, IA",36501
"cz19500","Toms River, NJ",36482
"cz26601","Milbank, MN & SD",36463
"cz26305","Rugby, ND",36433
"cz26703","Thief River Falls, MN",36408
"cz21501","Minneapolis, MN & WI",36401
"cz21701","Rochester, MN",36338
"cz26801","Fargo, MN & ND",36327
"cz26405","Scobey, MT",36248
"cz26401","Ekalaka, MT & SD",36197
"cz27301","Spencer, IA",36181
"cz26304","Minot, ND",36167
"cz29008","Center, KS",36095
"cz23200","Dubuque, IA & IL",35995
"cz26409","Glendive, MT & ND",35968
"cz34601","Gillette, WY",35891
"cz20901","Bridgeport, CT",35856
"cz27005","Yankton, NE & SD",35828
"cz27102","Marshall, MN",35816
"cz21301","Mankato, MN",35783
"cz21400","St. Cloud, MN",35758
"cz26502","Madison, SD",35756
"cz21201","Hutchinson, MN",35721
"cz29102","Superior, NE",35673
"cz27011","Pierre, SD",35653
"cz21802","Decorah, IA",35640
"cz27902","York, NE",35510
"cz26605","Aberdeen, SD",35485
"cz11304","Washington DC, DC & MD & VA",35475
"cz26404","Lemmon, ND & SD",35472
"cz21302","Owatonna, MN",35454
"cz27802","Columbus, NE",35336
"cz26704","Grand Forks, MN & ND",35324
"cz26203","Linton, ND",35264
"cz27401","Storm Lake, IA",35260
"cz39204","Condon, OR",35239
"cz26501","Brookings, SD",35184
