,cz,Name,AllParentIncomeAmericanIndian,AllParentIncomeAllRaces,AllParentIncomeAsian,AllParentIncomeWhite,AllParentIncomeHispanic,Individual_Income_Excluding_Spouse_at_Age_35_rB_gP_pall
0,cz31005,"Perryton, TX",47787.0,33363,,35558,32995.0,
1,cz11800,"Mount Pleasant, MI",39566.0,28648,34351.0,29009,25530.0,21910.0
2,cz32602,"Graham, TX",37798.0,29275,,30776,25617.0,16973.0
3,cz21701,"Rochester, MN",36443.0,36338,35675.0,36983,28886.0,22785.0
4,cz7100,"Port St. Lucie, FL",34293.0,27998,38060.0,31646,27932.0,20994.0
5,cz31900,"Pearland, TX",33786.0,31978,39209.0,34581,30512.0,26855.0
6,cz11002,"Atmore, AL",32214.0,26021,41143.0,29373,26302.0,21881.0
7,cz32401,"Big Spring, TX",32178.0,30048,46930.0,33572,28864.0,22077.0
8,cz18900,"Williamsport, PA",31681.0,30408,38536.0,31102,27737.0,19703.0
9,cz33400,"Longview, TX",31506.0,27797,36338.0,30610,26403.0,22416.0
10,cz23400,"Bloomington, IL",31402.0,31855,46335.0,32745,27862.0,23702.0
11,cz29501,"Leavenworth, KS",31003.0,31178,39670.0,32287,26050.0,25193.0
12,cz36404,"Rock Springs, UT & WY",30333.0,33680,36965.0,34512,31091.0,26906.0
13,cz11304,"Washington DC, DC & MD & VA",30296.0,35475,43109.0,39600,34205.0,29988.0
14,cz31004,"Liberal, KS & OK",30275.0,29650,31195.0,33432,28955.0,23691.0
15,cz11301,"Fredericksburg, VA",30236.0,31666,36896.0,32866,32877.0,27909.0
16,cz31401,"Midland, TX",30223.0,32604,43356.0,35918,31115.0,25052.0
17,cz21004,"Rhinelander, WI",30024.0,32139,33529.0,32652,25895.0,21333.0
18,cz30801,"Hobbs, NM & TX",29893.0,29080,49064.0,32336,28581.0,23866.0
19,cz21202,"Redwood Falls, MN",29725.0,36845,33617.0,37523,27857.0,
20,cz31101,"Victoria, TX",29581.0,31157,46057.0,35554,27362.0,24682.0
21,cz34114,"Unalaska, AK",29579.0,28034,35348.0,36727,,
22,cz23600,"Burlington, IA & IL & MO",29515.0,31534,36981.0,32148,31408.0,20503.0
23,cz6000,"Huntsville, AL & TN",29407.0,27162,41384.0,28518,26882.0,22823.0
24,cz32702,"Stephenville, TX",29219.0,28493,41004.0,30934,25348.0,27114.0
25,cz21003,"Ironwood, MI & WI",29176.0,31234,,31792,23389.0,
26,cz36503,"Lakeview, OR",29034.0,29679,,30622,27377.0,
27,cz32000,"Houston, TX",28942.0,31089,42569.0,35722,30103.0,24460.0
28,cz21302,"Owatonna, MN",28939.0,35454,36346.0,36221,24552.0,26375.0
29,cz7200,"Cape Coral, FL",28886.0,28152,36722.0,30678,26061.0,21326.0
30,cz13900,"Center, IN",28860.0,28270,33188.0,28969,27191.0,23302.0
31,cz29401,"Ottawa, KS",28836.0,29098,34381.0,29626,23836.0,22629.0
32,cz31700,"Corpus Christi, TX",28814.0,29370,36454.0,32819,28599.0,24228.0
33,cz2300,"Lynchburg, VA",28767.0,28829,37267.0,31223,25746.0,21203.0
34,cz26412,"Williston, ND",28562.0,38316,,39203,24779.0,
35,cz4002,"Shreveport, LA",28494.0,26235,32289.0,31163,26067.0,21405.0
36,cz32601,"Wichita Falls, TX",28380.0,28778,37278.0,30596,25903.0,22787.0
37,cz30802,"Lubbock, TX",28211.0,27971,39105.0,32391,24361.0,20335.0
38,cz34502,"Libby, MT",28183.0,28581,,29224,25692.0,
39,cz20302,"Claremont, NH & VT",28182.0,31795,37126.0,32443,29082.0,30726.0
40,cz5700,"Tullahoma, TN",28179.0,26595,34796.0,27521,22330.0,22057.0
41,cz29003,"Dodge City, KS",28142.0,30357,37809.0,33523,26811.0,20971.0
42,cz30903,"Amarillo, TX",28077.0,28477,32070.0,31423,24966.0,20985.0
43,cz1702,"Henderson, NC",28074.0,23097,50583.0,28261,22755.0,20147.0
44,cz3500,"Baton Rouge, LA",28067.0,29769,38749.0,33912,30454.0,23947.0
45,cz34101,"Sand Point, AK",27999.0,26508,36383.0,20488,,
46,cz33000,"Fort Worth, TX",27979.0,29684,36981.0,32514,27701.0,23290.0
47,cz33500,"Texarkana, AR & TX",27781.0,26188,40737.0,29088,25363.0,21398.0
48,cz11500,"Jackson, MI",27766.0,28909,37194.0,29772,25402.0,22050.0
49,cz31001,"Garden City, KS",27718.0,29781,35896.0,33852,27047.0,19083.0
50,cz22200,"Cedar Rapids, IA",27675.0,34305,34405.0,35058,28192.0,24390.0
